OBJECTID,ID,Reported Date,Reported Hour,Reported Year,Occurred Date,Occurred Hour,Occurred Year,Time of Day,Weekday,Day of Week,Neighbourhood,Sector,Division,Ward,Councillor,Census Tract,Level of Injury,x,y
95,95,4/1/2019 5:00:00 AM,200,2019,4/1/2019 5:00:00 AM,2200,2019,Evening,Monday,1,Civic Hospital-Central Park,21,Central,Ward 16 - River,Riley Brockington,5050020.01,NONE,366324.008300002,5025654.05229946
96,96,4/13/2019 5:00:00 AM,200,2019,4/13/2019 5:00:00 AM,2200,2019,Evening,Saturday,6,Ledbury - Heron Gate - Ridgemont - Elmwood,34,East,Ward 10 - Gloucester-Southgate,Jessica Bradley,5050001.09,MINOR,371501.727900005,5026253.53009946
97,97,4/18/2019 5:00:00 AM,200,2019,4/18/2019 5:00:00 AM,200,2019,Night,Thursday,4,Byward Market,24,Central,Ward 12 - Rideau-Vanier,Stéphanie Plante,5050054.00,FATAL,367866.786200002,5032275.26129946
98,98,4/25/2019 5:00:00 AM,100,2019,4/25/2019 5:00:00 AM,100,2019,Night,Thursday,4,Ledbury - Heron Gate - Ridgemont - Elmwood,34,East,Ward 18 - Alta Vista,Marty Carr,5050005.00,MINOR,370428.055200004,5026497.03499946
99,99,4/29/2019 5:00:00 AM,1400,2019,4/26/2019 5:00:00 AM,1700,2019,Afternoon,Friday,5,Hintonburg - Mechanicsville,21,Central,Ward 15 - Kitchissippi,Jeff Leiper,5050043.00,,366197.244600001,5029566.34079946
100,100,5/3/2019 5:00:00 AM,100,2019,5/3/2019 5:00:00 AM,100,2019,Night,Friday,5,Civic Hospital-Central Park,21,Central,Ward 15 - Kitchissippi,Jeff Leiper,5050034.00,MINOR,365657.700000002,5028517.55209946
101,101,5/15/2019 5:00:00 AM,200,2019,5/15/2019 5:00:00 AM,2100,2019,Evening,Wednesday,3,Overbrook - McArthur,25,Central,Ward 13 - Rideau-Rockcliffe,Rawlson King,5050012.00,MAJOR,371200.957000004,5032202.81999946
102,102,5/23/2019 5:00:00 AM,500,2019,5/23/2019 5:00:00 AM,500,2019,Night,Thursday,4,Centretown,23,Central,Ward 14 - Somerset,Ariel Troster,5050040.00,,367617.249600002,5030672.87149946
103,103,5/24/2019 5:00:00 AM,0,2019,5/23/2019 5:00:00 AM,2300,2019,Evening,Thursday,4,Hunt Club Park,33,East,Ward 10 - Gloucester-Southgate,Jessica Bradley,5050001.08,,375271.744900006,5026437.52709946
104,104,5/27/2019 5:00:00 AM,200,2019,5/27/2019 5:00:00 AM,2200,2019,Evening,Monday,1,Ledbury - Heron Gate - Ridgemont - Elmwood,34,East,Ward 10 - Gloucester-Southgate,Jessica Bradley,5050001.09,FATAL,371501.727900005,5026253.53009946
105,105,5/30/2019 5:00:00 AM,200,2019,5/30/2019 5:00:00 AM,2300,2019,Evening,Thursday,4,Lowertown,24,Central,Ward 12 - Rideau-Vanier,Stéphanie Plante,5050056.00,MAJOR,368601.704900002,5032846.58899946
106,106,5/30/2019 5:00:00 AM,300,2019,5/30/2019 5:00:00 AM,200,2019,Night,Thursday,4,Centretown,23,Central,Ward 14 - Somerset,Ariel Troster,5050040.00,,367322.709600003,5030793.18769946
107,107,6/2/2019 5:00:00 AM,700,2019,6/2/2019 5:00:00 AM,700,2019,Morning,Sunday,7,Centretown,23,Central,Ward 14 - Somerset,Ariel Troster,5050039.00,,367354.706000003,5029855.56299946
108,108,6/7/2019 5:00:00 AM,200,2019,6/7/2019 5:00:00 AM,2100,2019,Evening,Friday,5,Byward Market,24,Central,Ward 12 - Rideau-Vanier,Stéphanie Plante,5050054.00,FATAL,367930.704100003,5032342.58489946
